26281494,Reply from Author.,2015-08-19
26281493,Dyke-Davidoff-Masson Syndrome--Revisited.,2015-08-19
26133327,Three siblings with multiform seizures: An unusual presentation of Doose syndrome.,2015-07-03
26082416,Investigation of Subcortical Gray Matter in Patients with Non-lesional Neocortical Focal Epilepsy.,2015-06-18
26020976,Need for more child epilepsy specialist nurses.,2015-05-30
26011961,Utilization of gene mapping and candidate gene mutation screening for diagnosing clinically equivocal conditions: a Norrie disease case study.,2015-05-28
25868308,Psychiatric comorbidities among patients with epilepsy in Montenegro.,2015-04-15
25856962,Reply from author.,2015-04-11
25856961,National Epilepsy Programme.,2015-04-11
25815553,"Epilepsy, pemphigus and celiac disease: an exceptional association.",2015-03-28
25799798,Anxiety and depression levels in clients with epilepsy in selected hospital of Pune City.,2015-03-25
25744043,[Epileptic encephalopathy associated with human herpes virus 6 (HHV-6) encephalitis after the second cord blood transplantation in a patient with pediatric acute lymphoblastic leukemia].,2015-03-07
25727505,Interdisciplinary approach to neurocritical care in the intensive care nursery.,2015-03-03
25723029,[Comparative analysis of the maternal motivation expression in WAG/Rij and Wistar rats in the place preference and open field tests].,2015-02-28
25723028,[Selection for catatonic reaction in rats: a study of interstrain differences by magnetic resonance imaging].,2015-02-28
25715634,[Neuroimmunological aspects of the pathogenesis of epilepsy].,2015-02-27
25710077,[Concentrations of monoamines in the brain structures and features of behavior in the two-month old WAG/Rij rats].,2015-02-25
25699341,[The illness forced him to write incessantly. The story of Kierkegaards hypergraphia and death].,2015-02-21
25697436,[Complex febrile Seizures or Dravet syndrome?: Description of 3 case reports].,2014-05-16
25675827,Terminal remission is possible in some patients with juvenile myoclonic epilepsy without therapy.,2015-02-14
25675822,[Excitatory GABA signaling in epilepsy].,2015-02-14
25672732,[Epilepsy in the elderly].,2015-02-13
25672731,[Recent advance in research of benign adult familial myoclonus epilepsy (BAFME): is BAFME a progressive disorder?].,2015-02-13
25672730,[Epilepsy and functional brain networks].,2015-02-13
25672729,[Histopathologic features of glia in human epileptogenic brain lesions].,2015-02-13
25672728,[Spontaneous seizures in a rat models of multiple prenatal lesioning].,2015-02-13
25672693,[Migraine and epilepsy].,2015-02-13
25672033,Tuberous sclerosis.,2015-02-13
25669097,[Functional state of cardiovascular system by progressive absences--epilepsy and its treatment].,2015-02-12
25665395,[Inferior colliculus stimulation effects in KrushinskiI-Molodkina strain rats].,2015-02-11
25638987,Electroencephalography recording analysis in monitoring of canine idiopathic epilepsy treated with phenobarbital. Pilot study.,2015-02-03
25638916,Retrospective analysis of phone queries to an epilepsy clinic hotline.,2015-02-03
25633443,"Co-Morbidity of attention deficit Hyperactivity Disorder (ADHD) and epilepsy In children seen In University of Nigeria Teaching Hospital Enugu: Prevalence, Clinical and social correlates.",2015-01-31
25629136,[Exalief as a newer antiepileptic drug for adjunctive therapy of refractory partial-onset seizures].,2015-01-29
25622830,[Lateralizing value of dystonic posturing in patients with mesial temporal lobe epilepsy].,2015-01-28
25622829,[Default mode network in childhood absence epilepsy by 3.0T magnetic resonance imaging].,2015-01-28
25622828,[The core idea and technology of French school to China's presurgical evaluation on epilepsy].,2015-01-28
25614776,Oxidative stress associated with neuronal apoptosis in experimental models of epilepsy.,2014-03-14
25591691,Absence status after starting clobazam in a patient with syndrome of continuous spike and wave during slow sleep (CSWS).,2015-01-17
25591686,Angiocentric glioma: a treatable cause of epilepsy: report of a rare case.,2015-01-17
25591679,"Co-morbidity of depression and epilepsy in Jimma University specialized hospital, Southwest Ethiopia.",2015-01-17
25591671,"Epilepsy: some controversies, some knowledge and some experience from Cambodia.",2015-01-17
25591518,[New possibilities of pharmacological treatment of adult epilepsy].,2015-01-17
25588286,Neuroimaging of Ethiopian patients with epilepsy: a retrospective review.,2015-01-16
25587559,Induced neurocysticercosis in rhesus monkeys (Macaca mulatta) produces clinical signs and lesions similar to natural disease in man.,2014-07-07
25582467,[Progress of sudden unexpected death in epilepsy].,2015-01-14
25582464,[Efficacy and safety of rapamycin in treatment of children with epilepsy complicated with tuberous sclerosis].,2015-01-14
25582463,[Phenotypes and PRRT2 mutation analysis in families with benign familial infantile epilepsy].,2015-01-14
25580452,Preliminary anticonvulsant and toxicity screening of substituted benzylidenehydrazinyl-N-(6-substituted benzo[d]thiazol-2-yl)propanamides.,2014-07-22
25576976,Anxiolytic and antidepressive effects of electric stimulation of the paleocerebellar cortex in pentylenetetrazol kindled rats.,2015-01-11
25571614,"[Dr. Magda Neuwirth, the great representative of pediatric epileptology in Hungary, died on Mother's Day in 2014].",2015-01-10
25571501,Instability detector of a fragile neural network: application to seizure detection in epilepsy.,2015-01-09
25571455,"Advantages of signal-adaptive approaches for the nonlinear, time-variant analysis of heart rate variability of children with temporal lobe epilepsy.",2015-01-09
25571314,Unstable periodic orbits in human epileptic hippocampal slices.,2015-01-09
25571312,A testbed to explore the optimal electrical stimulation parameters for suppressing inter-ictal spikes in human hippocampal slices.,2015-01-09
25571301,A wrist-worn biosensor system for assessment of neurological status.,2015-01-09
25571263,Lateralization of temporal lobe epilepsy by imaging-based response-driven multinomial multivariate models.,2015-01-09
25571086,An in silico approach for pre-surgical evaluation of an epileptic cortex.,2015-01-09
25571054,Video surveillance of epilepsy patients using color image processing.,2015-01-09
25571043,Statistical validation of automatic methods for hippocampus segmentation in MR images of epileptic patients.,2015-01-09
25571017,Characterization of HFOs in short and long duration discharges recorded from in-vivo MeCP2-deficient mice.,2015-01-09
25571007,Using Lorenz plot and Cardiac Sympathetic Index of heart rate variability for detecting seizures for patients with epilepsy.,2015-01-09
25570979,Robust and low complexity algorithms for seizure detection.,2015-01-09
25570978,Seizure detection using wavelet decomposition of the prediction error signal from a single channel of intra-cranial EEG.,2015-01-09
25570977,Automated localization of the seizure focus using interictal intracranial EEG.,2015-01-09
25570914,Feature extraction with stacked autoencoders for epileptic seizure detection.,2015-01-09
25570832,Automatic selection of epileptic independent fMRI components.,2015-01-09
25570829,Validating the effect of muscle artifact suppression in localizing focal epilepsy.,2015-01-09
25570820,Characterization of the autonomic system during the cyclic alternating pattern of sleep.,2015-01-09
25570687,Cross-correlation based μECoG waveform tracking.,2015-01-09
25570685,Novel feature extraction method based on weight difference of weighted network for epileptic seizure detection.,2015-01-09
25570574,Periodicity in functional brain networks: application to scalp EEG from epilepsy patients.,2015-01-09
25570458,Comparative reliability analysis of publicly available software packages for automatic intracranial volume estimation.,2015-01-09
25570141,Support Vector Machine with nonlinear-kernel optimization for lateralization of epileptogenic hippocampus in MR images.,2015-01-09
25570116,Brain dynamics based automated epileptic seizure detection.,2015-01-09
25570115,Detection of tonic epileptic seizures based on surface electromyography.,2015-01-09
25570062,Using functional MRI alone for localization in focal epilepsy.,2015-01-09
25570013,Efficacy of cathodal transcranial direct current stimulation in drug-resistant epilepsy: a proof of principle.,2015-01-09
25558691,[Natural neurotropic autoantibodies in blood serum of epilepsy patients].,2015-01-07
25558654,Early clinical predictors of intractable epilepsy in childhood.,2015-01-07
25558587,[Successful treatment of epilepsy and circadian rhythm disturbance with levetiracetam in a patient with dentatorubral-pallidoluysian atrophy (DRPLA)].,2015-01-07
25558584,[Evaluation of six cases with hypothalamic hamartoma: the relationship between MRI findings and clinical features].,2015-01-07
25558583,[Histopathologic features of epileptogenic brain lesions in infants and children].,2015-01-07
25556368,"The level of negative emotions, coping with stress and social support for parents of children suffering from epilepsy.",2015-01-06
25556345,Hippocampal sclerosis: the missing link of cysticercosis epileptogenesis?,2015-01-06
25551918,Effects of linoleic acid on generalized convulsive and nonconvulsive epileptic seizures.,2015-01-02
25551880,Stroke.,2015-01-02
25546641,"[Psychogenic non-epileptic seizures. Differential diagnosis with epilepsy, clinical presentation and therapeutic approach].",2014-12-30
25539559,Surgery for intractable temporal lobe epilepsy: experience of a single institution.,2014-12-26
25539039,Psychosocial factors and antiepileptic drug use related to delayed diagnosis of refractory psychogenic nonepileptic seizures.,2014-12-25
25538816,Relevance of the glutathione system in temporal lobe epilepsy: evidence in human and experimental models.,2014-09-15
25536784,[Effect of citicoline on the development of chronic epileptization of the brain (pentylenetetrazole kindling) and acute seizures reaction of kindled mice C57Bl/6].,2014-12-25
25534340,[Hemiconvulsion-hemiplegia-epilepsy syndrome].,2014-12-24
25534218,[Hemiconvulsion-hemiplegia-epilepsy syndrome in a girl with adrenogenital syndrome].,2014-12-24
25532083,Symptomatic epileptogenic lesions.,2014-12-23
25531883,A computational study of stimulus driven epileptic seizure abatement.,2014-05-22
25525456,Altered intrinsic connectivity networks in frontal lobe epilepsy: a resting-state fMRI study.,2014-07-21
25518263,Prosthodontic treatment of an edentulous epileptic patient with an implant-retained overdenture. A case report.,2014-12-19
25518261,P-wave dispersion doesn't increase in patients with epilepsy.,2014-12-19
25518192,Excessive daytime sleepiness and obstructive sleep apnea in Thai epileptic patients.,2014-12-19
25518179,Effects of phenytoin and valproic acid on cognitive functions of Thai epileptic patients: a pilot study.,2014-12-19
25518023,Neurobiochemical mechanisms of a ketogenic diet in refractory epilepsy.,2014-02-04
25517644,Clinical and neuropsychological assessment of executive function in a sample of children and adolescents with idiopathic epilepsy.,2014-05-11
25515681,"Interactions between antiepileptic drugs, and between antiepileptic drugs and other drugs.",2014-12-18
25515478,Correction.,2014-12-18
25512063,Application of a multidisciplinary model to a case example of presurgical epilepsy planning.,2014-12-17
25510946,Immunomodulatory treatments in epilepsy.,2014-12-17
25510945,Epilepsy in systemic autoimmune disorders.,2014-12-17
25510943,Generalized epilepsies: immunologic and inflammatory mechanisms.,2014-12-17
25510942,Focal epilepsies: immunologic and inflammatory mechanisms.,2014-12-17
25510941,Experimental studies in epilepsy: immunologic and inflammatory mechanisms.,2014-12-17
25510940,Immunologic and inflammatory aspects of epilepsy. Introduction.,2014-12-17
25509456,My epilepsy seems to be worsening with age.  Are there any surgical treatments?  I'm 69.,2014-12-17
25509368,"Anti glutamate-decarboxylase antibodies: a liaison between localisation related epilepsy, stiff-person syndrome and type-1 diabetes mellitus.",2014-12-17
25505320,"Preictal activity of subicular, CA1, and dentate gyrus principal neurons in the dorsal hippocampus before spontaneous seizures in a rat model of temporal lobe epilepsy.",2014-12-16
25503713,Identifying MRI markers associated with early response following laser ablation for neurological disorders: preliminary findings.,2014-04-23
25501575,Neuroprotective and anti-inflammatory roles of the phosphatase and tensin homolog deleted on chromosome Ten (PTEN) Inhibition in a Mouse Model of Temporal Lobe Epilepsy.,2014-06-12
25498848,Visual and auditory socio-cognitive perception in unilateral temporal lobe epilepsy in children and adolescents: a prospective controlled study.,2014-12-16
25498516,A comparison of continuous video-EEG monitoring and 30-minute EEG in an ICU.,2014-12-16
25498232,Clinical applications of pediatric positron emission tomography-magnetic resonance imaging.,2014-12-16
25498131,Mutational analysis of paediatric patients with tuberous sclerosis complex in Korea: genotype and epilepsy.,2014-12-16
25497785,Bradycardia and asystole during generalised interictal EEG discharges.,2014-12-16
25497626,[Early-onset epileptic encephalopathy caused by CDKL5 mutation].,2014-12-16
25497146,Myoclonic status epilepticus as a presentation of caspr2 antibody-associated autoimmune encephalitis.,2014-12-16
25496967,Musicogenic and spontaneous seizures: EEG analyses with hippocampal depth electrodes.,2014-12-16
25495409,Effects of major transporter and metabolizing enzyme gene polymorphisms on carbamazepine metabolism in Chinese patients with epilepsy.,2014-12-16
25493432,Brain Network Organization in Focal Epilepsy: A Systematic Review and Meta-Analysis.,2014-06-10
25492768,Shaping the future of epilepsy care.,2014-12-11
25492676,[Development of exudative tuberculosis during treatment for aspiration pneumonia in an elderly post-stroke patient with symptomatic epilepsy].,2014-12-11
25492353,"Epilepsy as stigma—evil, holy or mad?",2014-12-11
25492341,Epilepsy and stigma in popular music.,2014-12-11
25490301,Epileptic seizures secondary to high degree atrioventricular block without escape rhythm.,2014-12-10
25489755,[Anticonvulsant therapy for brain tumour-related epilepsy].,2014-12-10
25489360,Epilepsy and education in developing countries: a survey of school teachers' knowledge about epilepsy and their attitude towards students with epilepsy in Northwestern Nigeria.,2013-11-16
25487625,Antiepileptic treatment in a child with Landau Kleffner syndrome: a case report.,2014-12-10
25485376,Multivariate hippocampal subfield analysis of local MRI intensity and volume: application to temporal lobe epilepsy.,2014-12-09
25483580,Cortical KCNQ2/3 channels; insights from knockout mice.,2014-12-09
25482562,Human slack potassium channel mutations increase positive cooperativity between individual channels.,2014-08-23
25480901,DNA screening for Lafora's disease in miniature wire-haired dachshunds.,2014-12-07
25476430,[Efficacy of methylprednisolone therapy for electrical status epilepticus during sleep in children].,2014-12-06
25470430,Vagus nerve stimulation reduces cardiac electrical instability assessed by quantitative T-wave alternans analysis in patients with drug-resistant focal epilepsy.,2014-09-30
25470332,A model of posttraumatic epilepsy after penetrating brain injuries: effect of lesion size and metal fragments.,2014-09-27
25470222,There are laterality effects in memory functioning in children/adolescents with focal epilepsy.,2014-12-04
25470216,The spatial and signal characteristics of physiologic high frequency oscillations.,2014-09-24
25470190,The clinical pharmacology of traditional antiepileptic drugs.,2014-12-04
25468911,Treatment of resistant epilepsy.,2014-12-04
25467323,More children's specialist epilepsy nurses needed.,2014-12-04
25465725,Adult absence semiology misinterpreted as mesial temporal lobe epilepsy.,2014-12-04
25465439,Effectiveness of multimodality treatment for autoimmune limbic epilepsy.,2014-12-04
25465029,Temporal lobe epilepsy and emotion recognition without amygdala: a case study of Urbach-Wiethe disease and review of the literature.,2014-12-04
25462149,Infraslow EEG changes in infantile spasms.,2014-12-03
25462146,Stimulus-induced generalized epileptiform discharges: an unrecognized EEG pattern in refractory nonconvulsive status epilepticus.,2014-12-03
25461227,The influence of staffing on diagnostic yield of EMU admissions: a comparison study between two institutions.,2014-09-18
25461225,Reappraisal of abnormal EEG findings in children with ADHD: on the relationship between ADHD and epileptiform discharges.,2014-06-11
25461224,Skin conductance biofeedback training in adults with drug-resistant temporal lobe epilepsy and stress-triggered seizures: a proof-of-concept study.,2014-08-23
25461223,"Knowledge, attitudes, and beliefs about epilepsy and their predictors among university students in Jordan.",2014-08-09
25461222,Clinical utility of the Wechsler Memory Scale--Fourth Edition (WMS-IV) in predicting laterality of temporal lobe epilepsy among surgical candidates.,2014-08-09
25461221,Perceived stigma and adherence in epilepsy: evidence for a link and mediating processes.,2014-07-10
25461220,Factors associated with superior self-management skills among individuals with epilepsy.,2014-07-25
25461219,An appraisal of the new operational definition of epilepsy--then and now.,2014-09-22
25461218,"Parental knowledge, attitudes, and behaviors towards children with epilepsy in Belgrade (Serbia).",2014-07-16
