0,A,R Kumar,RK
1,A Dubynin,Vyacheslav,V
2,A Omar,Ashraf,A
3,A Omar,Sabry,S
4,A Sakr,Sherif,S
5,A Selim,Heba,H
6,A-Rogvi-Hansen,B,B
7,ATES,N,N
8,Aaauevitchayapat,N,N
9,Aaauevitchayapat,Narong,N
10,Aaberg,K M,KM
11,Aaberg,Kari M,KM
12,Aaberg,Kari Modalsli,KM
13,Aalbers,K,K
14,Aalbers,M W,MW
15,Aalbers,Marlien,M
16,Aalbers,Marlien W,MW
17,Aalbers,Marlien Wilhelmina,MW
18,Aalto,Antti,A
19,Aalto,H,H
20,Aaltonen,S,S
21,Aarabi,A,A
22,Aarabi,Ardalan,A
23,Aariyapillai-Rajagopal,Reena,R
24,Aarli,J A,JA
25,Aarnoutse,Erik J,EJ
26,Aaron,Galia,G
27,Aaron,Gloster,G
28,Aaron,Gloster B,GB
29,Aarons,L,L
30,Aarons,Leon,L
31,Aaronson,Neil K,NK
32,Aarsen,Femke K,FK
33,Aarseth,J H,JH
34,Aarts,Michelle M,MM
35,Aarts,Ronald M,RM
36,Aarão,Mayra C,MC
37,Aase,Heidi,H
38,Aasly,Jan,J
39,Aassar,O S,OS
40,Aavula,Keerthikumar,K
41,Ab Rahman,Ab Fatah,AF
42,Ab-Rahman,Abfatah,A
43,Abaci,Ayhan,A
44,Abaci,Neslihan,N
45,Abad,Lorea,L
46,Abad-Mas,L,L
47,Abadom,T R,TR
48,Abalkhail,Hala A,HA
49,Abang,Betty,B
50,Abaoub,L,L
51,Abarca-Olivas,J,J
52,Abasli,Dilek,D
53,Abasolo-Osinaga,E,E
54,Abass,Fuad Abed,FA
55,Abassi,H,H
56,Abastillas,Mary E,ME
57,Abbas,Hussein A,HA
58,Abbas-Chorfa,Fatima,F
59,Abbasi,H R,HR
60,Abbasi,Saad,S
61,Abbasi,Saeed,S
62,Abbaskhanian,Ali,A
63,Abbasova,K R,KR
64,Abbey,M,M
65,Abbo,C,C
66,Abbosh,Nathalie,N
67,Abbott,D F,DF
68,Abbott,David F,DF
69,Abbott,F S,FS
70,Abbott,Frank,F
